AURA_DRAIN_PER	Emiþ bonusu %.1f%%
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	3 kere yanlýþ numara girdiniz. Baðlantýnýz kesildi.
LOGIN_FAILURE_HW_BANNED	Bu bilgisayardan eriþiminiz engellendi.
LOGIN_FAILURE_SECUREPC	Bu hesaba bu bilgisayardan eriþemezsiniz.
LOGIN_FAILURE_HDD_BAN	Bu bilgisayardan eriþiminiz engellendi.
LOGIN_FAILURE_PIN	Hesap ismi þifre veya pin yanlýþ.
LOGIN_FAILURE_CLIENT_VERSION	Bu client güncel deðil, çýkýþ yapýp patcher'i tekrar çalýþtýrýn
LOGIN_FAILURE_SERVER	Sunucu henüz aktif edilmedi.
LOGIN_KAYDET_BOS	Kayýtlý hesap yok.
LOGIN_KAYITOK	Hesap kaydedildi.
LOGIN_TUMDOLU	Tüm slotlar dolu.
LOGIN_INPUT_ID	ID nizi yazýn.
LOGIN_INPUT_PASSWORD	Þifreyi gir.
LOGIN_PROCESSING	Giriþ iþlemi yapýlýyor...
NEW_EXCHANGE_ADDED	%s a Ekle %s.
NEW_EXCHANGE_YOU_READY	%s Hazýr Market
NEW_EXCHANGE_YOU_ACCEPT	%s Ticareti Kabul Ettin.
NEW_EXCHANGE_ACCEPT	%s %s Karþý Taraf Ticareti Kabul Etti.
NEW_EXCHANGE_YOU_ABORT	%s Sen Ticareti Kapattýn.
NEW_EXCHANGE_ABORT	%s %s Karþý Taraf Ticareti Kapattý.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	Biriyle Ticaret Yapmak Üzeresin
NEW_EXCHANGE_ALERT2	Ticareti Onaylýyormusun.
MALL_CANNOT_INSERT	Nesne için yeriniz yok.
MALL_PASSWORD_TITLE	Þifre
MAP_A1	Yongan Bölgesi
MAP_A2	Seungryong Vadisi
MAP_A2_1	
MAP_A3	Yayang Bölgesi
MAP_AG	Jungrang
MAP_B1	Joan Bölgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bölgesi
MAP_BATTLE_FIELD	Savaþ Bölgesi
MAP_BAY	Nefrit Körfezi
MAP_BAYBLACKSAND	Nefrit Körfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bölgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bölgesi
MAP_CAPE	Ejderha Ateþi Burnu
MAP_CAPEDRAGONHEAD	Ejderha Ateþi Burnu
MAP_CG	Imha
MAP_12ZI_STAGE	Zodyak Tapýnaðý
MAP_DAWN	Gautama Uçurumu
MAP_DAWNMISTWOOD	Gautama Uçurumu
MAP_DAWNMIST_DUNGEON_01	Büyülü Orman
MAP_DAWNMIST_DUNGEON_02	Büyülü Orman
MAP_DESERT	Yongbi Çölü
MAP_DEVILCATACOMB	Þeytan Katakombu
MAP_DEVILTOWER1	Þeytan Kulesi
MAP_DUEL	Eðitim Dövüþü Arenasý
MAP_E	Koloni
MAP_EMPIREWAR01	Kale Savaþý
MAP_EMPIREWAR02	Kale Savaþý
MAP_EMPIREWAR03	Kale Savaþý
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_HOLYPLACE_FLAME	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_HOLYPLACE_ICE	Ýmparatorluk Savaþý - Buz Daðý
MAP_MILGYO	Hwang Tapýnaðý
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Yýldýrým Daðlarý
MAP_MT_TH_DUNGEON_01	Ochao Tapýnaðý
MAP_NUSLUCK	Devler Diyarý
MAP_NUSLUCK01	Devler Diyarý
MAP_N_DESERT_01	Yongbi Çölü
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ateþ Diyarý
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley'in Ýni
MAP_N_FLAME_DUNGEON_01	Kýrmýzý Ejderha Kalesi
MAP_N_SNOWM_01	Sohan Daðý
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere Gözlemevi
MAP_N_THREEWAY	Seungryong Vadisi
MAP_OXEVENT	OX-yarýþmasý
MAP_PATHWAY_DESERT_01	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_PATHWAY_DESERT_02	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_PATHWAY_DESERT_03	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_PATHWAY_FLAME_01	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_PATHWAY_FLAME_02	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_PATHWAY_FLAME_03	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_PATHWAY_ICE_01	Ýmparatorluk Savaþý - Buz Daðý
MAP_PATHWAY_ICE_02	Oyun Parký
MAP_PATHWAY_ICE_03	Ýmparatorluk Savaþý - Buz Daðý
MAP_SKELTOWER	Gumsan Kulesi
MAP_SKIPIA_DUNGEON_01	Sürgün Maðarasý
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Sürgün Maðarasý 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Ejderha Tapýnaðý
MAP_SKIPIA_DUNGEON_BOSS_1	Örümcek Zindaný 1
MAP_SKIPIA_DUNGEON_BOSS_2	Örümcek Zindaný 2
MAP_SKIPIA_DUNGEON_BOSS_3	Örümcek Zindaný 3
MAP_SNOW	Sohan Daðý
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Örümcek Zindaný 1
MAP_SPIDERDUNGEON_02	Örümcek Zindaný 2
MAP_SPIDERDUNGEON_02_1	Örümcek Zindaný 2
MAP_SPIDERDUNGEON_03	Örümcek Zindaný 3
MAP_SUNGZI	Ýmparatorluk Savaþý
MAP_SUNGZI_DESERT_01	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_SUNGZI_DESERT_HILL_01	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_SUNGZI_DESERT_HILL_02	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_SUNGZI_DESERT_HILL_03	Ýmparatorluk Savaþý - Çöl Diyarý
MAP_SUNGZI_FLAME_HILL_01	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_FLAME_HILL_02	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_FLAME_HILL_03	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_FLAME_PASS_01	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_FLAME_PASS_02	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_FLAME_PASS_03	Ýmparatorluk Savaþý - Ateþ Diyarý
MAP_SUNGZI_SNOW	Ýmparatorluk Savaþý - Buz Daðý
MAP_SUNGZI_SNOW_PASS01	Ýmparatorluk Savaþý - Buz Daðý
MAP_SUNGZI_SNOW_PASS02	Ýmparatorluk Savaþý - Buz Daðý
MAP_SUNGZI_SNOW_PASS03	Ýmparatorluk Savaþý - Buz Daðý
MAP_T1	Lonca Savaþý Bölgesi
MAP_T2	Lonca Savaþý Bölgesi
MAP_T3	Lonca Savaþý Bölgesi
MAP_T4	Lonca Savaþý Bölgesi
MAP_TEMPLE	Hwang Tapýnaðý
MAP_THUNDER	Yýldýrým Daðlarý
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormaný
MAP_TRENT02	Kýrmýzý Orman
MAP_TRENT02_A	Kýzýl Orman
MAP_TRENT_A	
MAP_WEDDING_01	Düðün Köyü
MAP_WL	Yýlan Vadisi
MAP_WL_01	Yýlan Vadisi
MAP_FIELD_DUNGEON	Bilinmeyen Harita
MAP_RESOURCE_ZONE	Kaynak Haritasý
MAP_GM_GUILD	Yönetici Bölgesi
MAP_BATTLEFIELD	Savaþ Bölgesi
MESSENGER_ADD_FRIEND	Arkadaþ ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadaþ olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranýzý silmek istiyor musunuz?
MESSENGER_DO_YOU_MOVE	Devam etmek istiyor musun?
MESSENGER_EMPTY_LIST	Boþ
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaþlar
MESSENGER_GUILD	Lonca
MESSENGER_BLOCK	Engellendi
MESSENGER_ADD_BLOCK_FRIEND	Ekle
MESSENGER_TEAM	Takým
MINI_GAME_RUMI_DISCARD_QUESTION	Ýptal etmek istediðinizden emin misiniz?
MINI_GAME_RUMI_EXIT_QUESTION	Ödül oyununu bitirmek ve almak istiyor musunuz?
MINI_GAME_RUMI_EXIT_QUESTION2	Puan sýfýrlanýr.
MINI_GAME_RUMI_START_QUESTION	%d yang ve %d güverte tüketilen edilecektir.
MINI_GAME_RUMI_START_QUESTION2	Oyunu baþlatmak istiyor musunuz?
MINIMAP	Küçük Haritayý aç
MINIMAP_CANNOT_SEE	Küçük Haritayi göremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Küçük Harita görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklaþtýr
MINIMAP_INC_SCALE	Yakýnlaþtýr
MINIMAP_OBSERVER_COUNT	%d izleyici
MINIMAP_SHOW_AREAMAP	Genel Görünüm Haritasý'ný aç
MINIMAP_BOSS	Patron Takip
MINIMAP_DUNGEON	Zindan Takip
MINUTE	Dakika
MOB_INFORMATION_STROKE	Toplam Puan: %d
MONETARY_UNIT0	Yang
MONETARY_UNIT1	On Bin
MONETARY_UNIT2	Yüz Milyon
MONETARY_UNIT_YEAR_ROUND_COIN	Yýldönümü Parasý
MONETARY_COMBAT_ZONE	Savaþ Puaný
MONETARY_UNIT_ZODIAC_POINT	Animasfer Puaný
MONETARY_UNIT_WORSHIP_POINT	Ýbadet Puaný
MONETARY_UNIT_EXP	Tecrübe Puaný
MONETARY_UNIT_DRAGON_COIN	Ejderha Parasý
MONETARY_UNIT_DRAGON_MARK	Ejderha Markasý
MONETARY_UNIT_ALIGN	Derece
MONETARY_UNIT_HEALTH_POINT	Yaþam Puaný
MONETARY_UNIT_MANA_POINT	Sihir Puaný
MONETARY_UNIT_SECONDARY_COIN	Myte Jetonu
MONEY_INPUT_DIALOG_SELLPRICE	Satýþ Fiyatý:
MOVE_CHANNEL_TITLE	Kanal Deðiþtirme Penceresi
MOVE_CHANNEL_SELECT	Deðiþtir
MOVE_CHANNEL_CANCEL	Ýptal
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtýðýn sürece nesneleri baþka yere taþýyamazsýn.
MUSIC_EMPTY_MUSIC_LIST	Fon müziði yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Müziði
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyasý seçilmedi.
NOT_YET_SUPPORT	Desteklenmiyor
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada deðilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu deðiþtirmek için ulaþmýþ olman gereken asgari seviye: %d.
PARTY_BONUS_ATTACKER	Saldýrý Deðeri: +%d	SA
PARTY_BONUS_BERSERKER	Saldýrý Hýzý: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	Savunma: +%d	SA
PARTY_BONUS_EXP	EXP: %%%d	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	  grubunuza katýlmak istiyor.
PARTY_DO_YOU_JOIN	 seni grubuna davet ediyor. Kabul etmek istiyor musun?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylaþýmý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye baðlý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanýyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	eþit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri ayný EXP i alýr.
PARTY_HEAL_ALL_MEMBER	Her þeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluþ faktör aralýðý 1,5.	SNA
PARTY_INCREASE_AREA_200	Grup kuruluþ faktör aralýðý 2.	SNA
PARTY_LEAVE	Grubu terket
PARTY_LONGTIME_BONUS_EXP	Uzun bir grup oyunu için kazanýlan EXP: +%%%d	SA
PARTY_MEMBER_OFFLINE	[Çevrimdýþý]
PARTY_RECALL_MEMBER	Grup üyesini çaðýr.
PARTY_REGEN_BONUS	Yeniden oluþum HP- + SP primi: +%%%d	SA
PARTY_REQUEST_DENIED	Baþvurun reddedildi.
PARTY_SET_ATTACKER	Saldýrý gücü olarak belirle
PARTY_SET_BERSERKER	Berserker olarak belirle.
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarlarý.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakýn Dövüþ Savasçýsý olarak belirle.
PARTY_SKILL_ATTACKER	Saldýrý gücü olarak temel saldýrý deðeri +%.0f
PARTY_SKILL_BERSERKER	Berserker saldýrý hýzý +%.0f
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +%.0f
PARTY_SKILL_DEFENDER	Savunmacýlarýn Savunmasý +%.0f
PARTY_SKILL_HP_REGEN	HP üretimi +%.0f%%
PARTY_SKILL_PARTY_AREA	Grup sýrasý +%%%d
PARTY_SKILL_SKILL_MASTER	Max. SP Beceri Masterý +%.0f
PARTY_SKILL_SP_REGEN	SP üretimi +%.0f%%
PARTY_SKILL_TANKER	Max. HP Yakýn Dövüþ Saldýrý Gücü +%.0f
PARTY_SKILL_WARP	Grup üyelerini çaðýrmak mümkün.
PASSWORD_TITLE	Depo Þifresi
PET_ATTR_CHANGE_DIALOG_TEXT	Petinin özniteliklerini þimdi deðiþtir?\n "Pet efsunla" eþyasý bu durumda tüketilir.\n Ýþlem baþarýsýz olabilir
PET_ATTR_CHANGE_USE	Pet öznitelikleri dönüþtürülürken bu eylem gerçekleþtirilemez.
PET_ATTR_DETERMINE_TYPE1	Pet tipi 1: sakar. Çok güçlü deðil.\nZamanla becerilerini artýrabilirsin.
PET_ATTR_DETERMINE_TYPE2	Pet tipi 2: meraklý. Çok güçlü deðil\nZamanla becerileri artan sadýk bir yoldaþ.
PET_ATTR_DETERMINE_TYPE3	Pet tipi 3: yürekli. Orta derecede güçlü.\nZamanla becerilerini artýrabilirsin.
PET_ATTR_DETERMINE_TYPE4	Pet tipi 4: cesur. Orta derecede güçlü\nZamanla becerileri daha da artan sadýk bir yoldaþ.
PET_ATTR_DETERMINE_TYPE5	Pet tipi 5: gözükara. Güçlü\nZamanla becerilerini daha da artýrabilirsin.
PET_ATTR_DETERMINE_TYPE6	Pet tipi 6: efsanevi. Güçlü\nZamanla becerileri daha da artan sadýk bir yoldaþ.
PET_ATTR_DETERMINE_TYPE7	Pet tipi 7: mitsi. Çok güçlü\nZamanla tüm potansiyeli ortaya çýkar.
PET_ATTR_DETERMINE_TYPE8	Pet tipi 8: prizmatik. Aþýrý güçlü\nGüvenebileceðin sadýk bir yoldaþ.
CALL_PET_FIRST	Ýlk Önce Evcil Hayvanýný Çaðýrmalýsýn.
MISSING_PET_ITEM	Yeterli Miktarda Pet Belirleme Eþyasýna Sahip Deðilsin
PET_SYSTEM_EVO1	Genç(%d)
PET_SYSTEM_EVO2	Yabani(%d)
PET_SYSTEM_EVO3	Cesur(%d)
PET_SYSTEM_EVO4	Kahraman(%d)
PET_SYSTEM_ZILE_TOOLTIP	Seviye: %d (%d Gün)
PET_SYSTEM_CAN_OPEN_SKILL	%d. Beceri Geliþtirilebilir
PET_SYSTEM_CAN_NOT_OPEN_SKILL	%d. Beceri Geliþtirilemez
PET_SYSTEM_SKILL_TOOLTIP	%d. Beceri: %d
PET_SYSTEM_ADD_BOX_PET	Evcil hayvaný kutuya eklemek istiyormusun?
PET_SYSTEM_FEED_PROTEIN	Evcil hayvanýný beslemek istiyormusun?
PET_SYSTEM_CHANGE_NAME	Evcil Hayvan Ýsmi
PET_SYSTEM_ITEM_COUNT	Nesneleri üst üste koyamazsýnýz.
PET_SYSTEM_MONKEY_EGG	Maymun Yumurtasý
PET_SYSTEM_BARONES_EGG	Barones Yumurtasý
PET_SYSTEM_RAZADOR_EGG	Razadör Yumurtasý
PET_SYSTEM_NEMERE_EGG	Nemere Yumurtasý
PET_SYSTEM_BLUE_DRAGON_EGG	Mavi Ejderha Yumurtasý
PET_SYSTEM_MELEY_EGG	Meley Yumurtasý
PET_SYSTEM_LUCIFER_EGG	Azrail Yumurtasý
PET_SYSTEM_EXECUTIONER_EGG	Cellatçýk Yumurtasý
PET_SYSTEM_BASSHIDO_EGG	Baashido Yumurtasý
PET_SYSTEM_CORRECT_PET_NAME	Gerçerli bir evcil hayvan ismi giriniz.
PET_SYSTEM_HP_RESTORED	HP Yüklemesi:
PET_SYSTEM_IMMORTAL_TIME	Ölümsüzlük Süresi:
PET_SYSTEM_SKILL_COOLDOWN	Beceri Süresi:
PET_SYSTEM_ORE	 Saat
PET_SYSTEM_ZILE	 Gün
PET_SYSTEM_EXPERIENCE	Deneyim Puaný :
PET_SYSTEM_EXPERIENCE_ITEM	Deneyim Puaný (I) :
PET_SYSTEM_TOOLTIP	Süre: %d Gün %d Saat %d Dakika
PET_TEXTT_8	adýný vermek istiyor musun?
PET_SYSTEM_ZILE_TOOLTIP	Seviye: %d (%d Gün)
PET_SYSTEM_CAN_OPEN_SKILL	%d. Beceri Geliþtirilebilir
PET_SYSTEM_CAN_NOT_OPEN_SKILL	%d. Beceri Geliþtirilemez
PET_SYSTEM_RELEASE_EXP	Güncel tecrübe : %.2f%%
PET_SYSTEM_REST_EXP	Kalan tecrübe : %d / %d
PET_SYSTEM_RELEASE_IEXP	Güncel nesne : %.2f%%
PET_SYSTEM_REST_IEXP	Kalan nesne : %d / %d
PET_SYSTEM_CORRECT_MONEY	100.000 Yang'a ihtiyacýn var.
PET_SYSTEM_ACCEPT_NAME	Evcil hayvanýna %s ismini vermek istiyormusun.
PET_SYSTEM_REALLY_USE_THIS_ITEM	Bu nesneyi kullanmak istiyor musun?
PET_SYSTEM_LEFT_TIME	Kalan Süre: 
PET_SYSTEM_ANTIFLAG_PETFEED	Bu nesne evcil hayvana yedirelemez.
PET_SYSTEM_INVALID_POS	Bu nesne zaten kaydedilmiþ.
PET_SYSTEM_NOT_SUMMON_YET	Bonuslarý görebilmek için evcil hayvanýný bir kez çaðýr.
PET_SYSTEM_NO_MORE_TIME	Evcil hayvanýnýn süresi bitmiþ.
PET_SKILL_OPEN	Kahraman eðitimine "%s" ile baþlamak istiyor musun?
PET_AFFECT_RESIST_WARRIOR	Savaþçýlara Karþý Savunma
PET_AFFECT_RESIST_SURA	Suralara Karþý Savunma
PET_AFFECT_RESIST_NINJA	Ninjalara Karþý Savunma
PET_AFFECT_RESIST_SHAMAN	Þamanlara Karþý Savunma
PET_AFFECT_RESIST_LYCAN	Lycanlara Karþý Savunma
PET_AFFECT_BERSERKER	Saldýrý Deðerini Arttýrýr
PET_AFFECT_ANTI_MAGIC	Rakibin Büyü Direncini Kýrar
PET_AFFECT_MAGIC_SPEED	Büyü Hýzýný Arttýrýr
PET_AFFECT_PENETRATE	Delici Vuruþ Bonusu Verir
PET_AFFECT_HEAL	Yenilenme
PET_AFFECT_VAMPIRISM	HP Çalma
PET_AFFECT_SPRITISM	SP Çalma
PET_AFFECT_BLOCK	Bloklama Þansý
PET_AFFECT_REFLECT_MELEE	Yansýtma Þansý
PET_AFFECT_DROP_GOLD	Yang Düþürme Þansý
PET_AFFECT_BOW_DISTANCE	Yay Menzili
PET_AFFECT_IMMORTAL	Yenilmezlik
PET_AFFECT_HEAL2	Kötü Etkileri Siler
PET_NAME_MONKEY	Küçük Maymun
PET_NAME_SPIDER	Küçük Örümcek
PET_NAME_RAZADOR	Küçük Razadör
PET_NAME_NEMERE	Küçük Nemere
PET_NAME_MINI_DRAGON	Küçük Ejderha
PET_NAME_MINI_MELEY	Küçük Meley
PET_NAME_MINI_LUCIFER	Küçük Azrail
PET_NAME_MINI_EXECUTIONER	Küçük Cellatçýk
PET_NAME_MINI_BASSHIDO	Küçük Baashido
PICK_ITEM_TITLE	Eþya No
PICK_MONEY_TITLE	Toplam
POLYMORPH_AFFECT_TOOLTIP	Dönüþüm	SNA
POLYMORPH_AFFECT_REMOVE_QUESTION	Dönüþümden çýkmak istediðinizden emin misiniz?
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu eþyayý özel depoda satamazsýn.
PRIVATE_SHOP_CLOSE_QUESTION	Özel depoyu kapatmak istiyor musun?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Özel deponun ismi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PRIVATESHOPSEARCH_ABLITY_POTION	Þebnem
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Ýnce Kumaþ
PRIVATESHOPSEARCH_ARMOR	Ekipman
PRIVATESHOPSEARCH_ARROW	Oklar
PRIVATESHOPSEARCH_QUIVER	Ok Çantasý
PRIVATESHOPSEARCH_BELL	Çanlar
PRIVATESHOPSEARCH_BELT	Kemer
PRIVATESHOPSEARCH_BLEND	Ýksirler
PRIVATESHOPSEARCH_BLOOD_PEARL	Kankýrmýzý Ýnci
PRIVATESHOPSEARCH_BLUE_PEARL	Mavi Ýnci
PRIVATESHOPSEARCH_BODY	Zýrhlar
PRIVATESHOPSEARCH_BOW	Yay
PRIVATESHOPSEARCH_BUYTIME	Seçilen nesneyi satmak ister misin?
PRIVATESHOPSEARCH_CLAW	Pençeler
PRIVATESHOPSEARCH_CLEAR_POTION	Özütler
PRIVATESHOPSEARCH_COSTUME	Kostümler
PRIVATESHOPSEARCH_COSTUMEBODY	Kostüm
PRIVATESHOPSEARCH_COSTUMEHAIR	Saç Stili
PRIVATESHOPSEARCH_COSTUME_SASH	Omuz Kuþaklarý
PRIVATESHOPSEARCH_COSTUME_MOUNT	Binek
PRIVATESHOPSEARCH_COSTUME_WEAPON	Silah Kostümü
PRIVATESHOPSEARCH_CRYSTAL	Kristal
PRIVATESHOPSEARCH_DAGGER	Hançerler
PRIVATESHOPSEARCH_DEAD	ölü
PRIVATESHOPSEARCH_DETACHMENT	Taþ Sanatý Kitabý
PRIVATESHOPSEARCH_DIAMOND	Elmas
PRIVATESHOPSEARCH_DS	Ejderha Taþý Simyasý
PRIVATESHOPSEARCH_DS_BLACK	Oniks
PRIVATESHOPSEARCH_DS_BLUE	Safir
PRIVATESHOPSEARCH_DS_GREEN	Yeþim
PRIVATESHOPSEARCH_DS_RED	Yakut
PRIVATESHOPSEARCH_DS_WHITE	Elmas
PRIVATESHOPSEARCH_DS_YELLOW	Grena
PRIVATESHOPSEARCH_EAR	Küpeler
PRIVATESHOPSEARCH_FAN	Yelpaze
PRIVATESHOPSEARCH_FISH	Balýklar
PRIVATESHOPSEARCH_FOOTS	Ayakkabýlar
PRIVATESHOPSEARCH_GEM	Mücevherler
PRIVATESHOPSEARCH_GIFTBOX	Hediye Kutularý
PRIVATESHOPSEARCH_HEAD	Kasklar
PRIVATESHOPSEARCH_LIVE	canlý
PRIVATESHOPSEARCH_MATERIAL	Malzemeler
PRIVATESHOPSEARCH_METIN	Zihin Taþlarý
PRIVATESHOPSEARCH_NECK	Kolyeler
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Doðru paket olmadan nesne satýn alamazsýn.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Doðru paket olmadan nesne arayamazsýn.
PRIVATESHOPSEARCH_NODELAY_POTION	HP Nesneleri
PRIVATESHOPSEARCH_ORE	Cevher
PRIVATESHOPSEARCH_GREEN_PEARL	Yeþil Ýnci
PRIVATESHOPSEARCH_PINK_PEARL	Pembe Ýnci
PRIVATESHOPSEARCH_GOLD_PEARL	Altýn Ýnci
PRIVATESHOPSEARCH_PET	Pet Sistemi
PRIVATESHOPSEARCH_PETAGG	Pet Yumurtalarý
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet Yetenek Kitaplarý
PRIVATESHOPSEARCH_PICK	Kazma
PRIVATESHOPSEARCH_POTION	Ýksirler
PRIVATESHOPSEARCH_QUEST	Görev
PRIVATESHOPSEARCH_QUIVER	Ok Çantasý
PRIVATESHOPSEARCH_RESOURCE	Nesne Geliþtirmesi
PRIVATESHOPSEARCH_ROD	Balýkçýlýk
PRIVATESHOPSEARCH_SELECTITEM	Nesne seçildi
PRIVATESHOPSEARCH_SHIELD	Kalkanlar
PRIVATESHOPSEARCH_SKILLBOOK	Yetenek Kitaplarý
PRIVATESHOPSEARCH_SKILLFORGET	Unutkanlýk Kitabý
PRIVATESHOPSEARCH_SPECIAL	Diðer
PRIVATESHOPSEARCH_STONE	Enerji Parçasý
PRIVATESHOPSEARCH_SWORD	Tek El Kýlýçlar
PRIVATESHOPSEARCH_TREASUREBOX	Sandýklar
PRIVATESHOPSEARCH_TUNING	Parþömenler
PRIVATESHOPSEARCH_TWOSWORD	Çift El Kýlýçlar
PRIVATESHOPSEARCH_UNIQUE	Eþsiz
PRIVATESHOPSEARCH_USEITEM	Tüketim Nesneleri
PRIVATESHOPSEARCH_USESPECIAL	Diðer
PRIVATESHOPSEARCH_WEAPON	Silahlar
PRIVATESHOPSEARCH_WHITE_PEARL	Beyaz Ýnci
PRIVATESHOPSEARCH_WRIST	Bilezik
PRIVATESHOPSEARCH_RING	Yüzükler
PRIVATESHOPSEARCH_GACHA	Eþsiz Sandýk
PRIVATESHOPSEARCH_SOUL	Ruh Rünü
PRIVATESHOPSEARCH_BELT_DIAMOND	Kemer Cevheri
PRIVATESHOPSEARCH_CHANGE_COSTUME_ATTR	Kostüm Efsunla
PRIVATESHOPSEARCH_RESET_COSTUME_ATTR	Kostüm Dönüþtür
PRIVATESHOPSEARCH_CHARM	Týlsýmlar
PRIVATESHOPSEARCH_BUY_SUCCESS	Nesne baþarýyla satýn alýndý.
PROFILE_SELECT_DEFAULT	--
PROFILE_MAIN_NAME	Karakter adý: |cFFdda804%s
PVP_LEVEL0	  Mükemmel
PVP_LEVEL1	  Ýnanýlmaz
PVP_LEVEL2	  Efsanevi
PVP_LEVEL3	  Kahraman
PVP_LEVEL4	  Soylu
PVP_LEVEL5	  Ýyi
PVP_LEVEL6	  Arkadaþça
PVP_LEVEL7	  Tarafsýz
PVP_LEVEL8	  Agresif
PVP_LEVEL9	  Hileli
PVP_LEVEL10	  Kötü Niyetli
PVP_LEVEL11	  Zalim
